FINAL1,,,,,,,,,,,,,,
"U.S. CITIZEN AIR TRAFFIC2 TO OVERSEAS REGIONS, CANADA & MEXICO",,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
,,,,,,,,,,,,,Total,% Change
Regions,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,YTD 3
Europe,"748,042","649,274","992,917","944,616","1,280,025","1,463,636","1,383,904","1,096,385","1,208,755","941,907","811,118","902,504","12,552,629",3%
Caribbean,"381,022","408,348","510,086","451,929","433,383","496,298","585,156","465,772","300,453","349,537","416,199","558,172","5,397,458",4%
Asia,"382,233","318,504","414,291","363,177","432,036","481,046","447,556","364,449","355,474","409,595","380,947","433,710","4,815,618",10%
South America,"173,830","169,884","188,831","144,634","151,206","204,990","218,543","179,388","145,365","153,115","170,387","263,921","2,180,777",10%
Central America ,"190,129","189,171","240,445","165,432","164,391","232,337","261,097","176,136","116,906","133,961","165,655","250,364","2,300,179",10%
Oceania,"70,262","68,961","71,779","52,352","53,918","69,962","76,207","60,733","50,858","60,854","64,022","81,475","782,907",1%
Middle East,"37,058","28,235","40,766","36,376","55,628","61,196","56,609","52,073","47,698","39,647","41,227","49,821","554,031",13%
Africa,"12,262","11,348","16,334","13,276","17,160","22,421","22,236","19,161","15,513","16,529","14,428","19,993","203,867",1%

Total Overseas,"1,994,838","1,843,725","2,475,449","2,171,792","2,587,747","3,031,886","3,051,308","2,414,097","2,241,022","2,105,145","2,063,983","2,559,960","28,787,466",5%

Mexico,"448,720","423,444","518,367","462,610","466,252","538,743","572,899","481,783","341,039","395,203","391,368","578,299","5,672,740",9%
Canada,"211,696","235,451","256,077","244,788","304,333","463,530","521,767","456,517","368,082","305,914","244,557","279,223","3,912,198",0%

Grand Total ,"2,655,254","2,502,620","3,249,893","2,879,190","3,358,332","4,034,159","4,145,974","3,352,397","2,950,143","2,806,262","2,699,908","3,417,482","38,372,404",5%

1 Final data does include 'late records' in Total Annual column.,,,,,,,,,,,,,,
"2 Air traffic only, non-stop from US port to foreign port. Does not imply total 'visitation' throughout the respective regions (refer U.S. Outbound Profile)",,,,,,,,,,,,,,
3 Percentage change is compared to the same time frame from the previous year.,,,,,,,,,,,,,,

"Note:  Overseas and Mexican air data reported are from the Office of Travel and Tourism Industries (OTTI) ""U.S. International Air Travel Statistics Report"" I-92.",,,,,,,,,,,,,,
"           OTTI obtains the U.S. departures, via air, to Canada from Statistics Canada.",,,,,,,,,,,,,,

"To learn more about the I-92 program, visit: ",,,,http://www.tinet.ita.doc.gov/research/programs/i92/index.html,,,,,,,,,,

"Source:  U.S. Department of Commerce, International Trade Administration, Office of Travel and Tourism Industries.",,,,,,,,,,,,,,

Released: June 2006
