,Date,Rate
1,2005-01-01,{'USD': 1.358363}
2,2005-01-01,{'GBP': 0.705819}
3,2005-01-01,{'JPY': 139.436301}
4,2005-01-01,{'CNY': 11.23808}
5,2006-01-01,{'USD': 1.181562}
6,2006-01-01,{'GBP': 0.686612}
7,2006-01-01,{'JPY': 139.22724}
8,2006-01-01,{'CNY': 9.537388}
9,2007-01-01,{'USD': 1.315192}
10,2007-01-01,{'GBP': 0.670411}
11,2007-01-01,{'JPY': 156.436232}
12,2007-01-01,{'CNY': 10.266779}
13,2008-01-01,{'USD': 1.462424}
14,2008-01-01,{'GBP': 0.735121}
15,2008-01-01,{'JPY': 163.416069}
16,2008-01-01,{'CNY': 10.685003}
17,2009-01-01,{'USD': 1.394492}
18,2009-01-01,{'GBP': 0.956164}
19,2009-01-01,{'JPY': 126.598325}
20,2009-01-01,{'CNY': 9.517772}
21,2010-01-01,{'USD': 1.4342}
22,2010-01-01,{'GBP': 0.886657}
23,2010-01-01,{'JPY': 133.252538}
24,2010-01-01,{'CNY': 9.793804}
25,2011-01-01,{'USD': 1.33737}
26,2011-01-01,{'GBP': 0.859052}
27,2011-01-01,{'JPY': 108.47771}
28,2011-01-01,{'CNY': 8.824843}
29,2012-01-01,{'USD': 1.294525}
30,2012-01-01,{'GBP': 0.834192}
31,2012-01-01,{'JPY': 99.908411}
32,2012-01-01,{'CNY': 8.160873}
33,2013-01-01,{'USD': 1.320739}
34,2013-01-01,{'GBP': 0.81311}
35,2013-01-01,{'JPY': 114.352908}
36,2013-01-01,{'CNY': 8.255507}
37,2014-01-01,{'USD': 1.375574}
38,2014-01-01,{'GBP': 0.830368}
39,2014-01-01,{'JPY': 144.835474}
40,2014-01-01,{'CNY': 8.343407}
41,2005-02-01,{'USD': 1.303526}
42,2005-02-01,{'GBP': 0.692797}
43,2005-02-01,{'JPY': 135.229122}
44,2005-02-01,{'CNY': 10.787422}
45,2006-02-01,{'USD': 1.207546}
46,2006-02-01,{'GBP': 0.680018}
47,2006-02-01,{'JPY': 142.240326}
48,2006-02-01,{'CNY': 9.734399}
49,2007-02-01,{'USD': 1.30208}
50,2007-02-01,{'GBP': 0.661522}
51,2007-02-01,{'JPY': 157.021385}
52,2007-02-01,{'CNY': 10.102855}
53,2008-02-01,{'USD': 1.483206}
54,2008-02-01,{'GBP': 0.751048}
55,2008-02-01,{'JPY': 157.857106}
56,2008-02-01,{'CNY': 10.659927}
57,2009-02-01,{'USD': 1.280511}
58,2009-02-01,{'GBP': 0.891473}
59,2009-02-01,{'JPY': 114.987067}
60,2009-02-01,{'CNY': 8.760117}
61,2010-02-01,{'USD': 1.391783}
62,2010-02-01,{'GBP': 0.873704}
63,2010-02-01,{'JPY': 126.027449}
64,2010-02-01,{'CNY': 9.502461}
65,2011-02-01,{'USD': 1.380479}
66,2011-02-01,{'GBP': 0.855958}
67,2011-02-01,{'JPY': 112.470454}
68,2011-02-01,{'CNY': 9.098939}
69,2012-02-01,{'USD': 1.316874}
70,2012-02-01,{'GBP': 0.831149}
71,2012-02-01,{'JPY': 100.279857}
72,2012-02-01,{'CNY': 8.305167}
73,2013-02-01,{'USD': 1.365048}
74,2013-02-01,{'GBP': 0.867289}
75,2013-02-01,{'JPY': 125.907455}
76,2013-02-01,{'CNY': 8.51963}
77,2014-02-01,{'USD': 1.348849}
78,2014-02-01,{'GBP': 0.820484}
79,2014-02-01,{'JPY': 137.759805}
80,2014-02-01,{'CNY': 8.188016}
81,2005-03-01,{'USD': 1.319134}
82,2005-03-01,{'GBP': 0.686801}
83,2005-03-01,{'JPY': 137.639276}
84,2005-03-01,{'CNY': 10.916589}
85,2006-03-01,{'USD': 1.191541}
86,2006-03-01,{'GBP': 0.680712}
87,2006-03-01,{'JPY': 138.282796}
88,2006-03-01,{'CNY': 9.578394}
89,2007-03-01,{'USD': 1.319312}
90,2007-03-01,{'GBP': 0.672863}
91,2007-03-01,{'JPY': 155.078072}
92,2007-03-01,{'CNY': 10.216057}
93,2008-03-01,{'USD': 1.517997}
94,2008-03-01,{'GBP': 0.764627}
95,2008-03-01,{'JPY': 157.988703}
96,2008-03-01,{'CNY': 10.799022}
97,2009-03-01,{'USD': 1.267034}
98,2009-03-01,{'GBP': 0.889866}
99,2009-03-01,{'JPY': 123.725222}
100,2009-03-01,{'CNY': 8.66461}
101,2010-03-01,{'USD': 1.354021}
102,2010-03-01,{'GBP': 0.905197}
103,2010-03-01,{'JPY': 120.767524}
104,2010-03-01,{'CNY': 9.243916}
105,2011-03-01,{'USD': 1.379489}
106,2011-03-01,{'GBP': 0.84744}
107,2011-03-01,{'JPY': 113.028627}
108,2011-03-01,{'CNY': 9.063683}
109,2012-03-01,{'USD': 1.331739}
110,2012-03-01,{'GBP': 0.834498}
111,2012-03-01,{'JPY': 108.15829}
112,2012-03-01,{'CNY': 8.38827}
113,2013-03-01,{'USD': 1.302658}
