,Date,Expenditures,Year,Month
0,1/1/2005,1620,2005,1
1,2/1/2005,1768,2005,2
2,3/1/2005,1844,2005,3
3,4/1/2005,1987,2005,4
4,5/1/2005,1901,2005,5
5,6/1/2005,1816,2005,6
6,7/1/2005,1721,2005,7
7,8/1/2005,1697,2005,8
8,9/1/2005,1580,2005,9
9,10/1/2005,1640,2005,10
10,11/1/2005,1398,2005,11
11,12/1/2005,1686,2005,12
12,1/1/2006,1937,2006,1
13,2/1/2006,1402,2006,2
14,3/1/2006,1371,2006,3
15,4/1/2006,1519,2006,4
16,5/1/2006,1543,2006,5
17,6/1/2006,1575,2006,6
18,7/1/2006,1914,2006,7
19,8/1/2006,2007,2006,8
20,9/1/2006,1880,2006,9
21,10/1/2006,1559,2006,10
22,11/1/2006,1559,2006,11
23,12/1/2006,1663,2006,12
24,1/1/2007,2037,2007,1
25,2/1/2007,1857,2007,2
26,3/1/2007,2291,2007,3
27,4/1/2007,2035,2007,4
28,5/1/2007,2404,2007,5
29,6/1/2007,2573,2007,6
30,7/1/2007,2655,2007,7
31,8/1/2007,2629,2007,8
32,9/1/2007,2721,2007,9
33,10/1/2007,3205,2007,10
34,11/1/2007,3343,2007,11
35,12/1/2007,3686,2007,12
36,1/1/2008,3282,2008,1
37,2/1/2008,3209,2008,2
38,3/1/2008,3916,2008,3
39,4/1/2008,3505,2008,4
40,5/1/2008,4199,2008,5
41,6/1/2008,4389,2008,6
42,7/1/2008,4166,2008,7
43,8/1/2008,4133,2008,8
44,9/1/2008,3707,2008,9
45,10/1/2008,3801,2008,10
46,11/1/2008,2969,2008,11
47,12/1/2008,3606,2008,12
48,1/1/2009,3541,2009,1
49,2/1/2009,3301,2009,2
50,3/1/2009,3347,2009,3
51,4/1/2009,3452,2009,4
52,5/1/2009,3779,2009,5
53,6/1/2009,3813,2009,6
54,7/1/2009,3555,2009,7
55,8/1/2009,3519,2009,8
56,9/1/2009,3438,2009,9
57,10/1/2009,3741,2009,10
58,11/1/2009,3637,2009,11
59,12/1/2009,3930,2009,12
60,1/1/2010,4191,2010,1
61,2/1/2010,4316,2010,2
62,3/1/2010,4531,2010,3
63,4/1/2010,4449,2010,4
64,5/1/2010,4672,2010,5
65,6/1/2010,4869,2010,6
66,7/1/2010,5037,2010,7
67,8/1/2010,5071,2010,8
68,9/1/2010,5090,2010,9
69,10/1/2010,5180,2010,10
70,11/1/2010,5157,2010,11
71,12/1/2010,5385,2010,12
72,1/1/2011,5554,2011,1
73,2/1/2011,5569,2011,2
74,3/1/2011,5752,2011,3
75,4/1/2011,5838,2011,4
76,5/1/2011,6020,2011,5
77,6/1/2011,6244,2011,6
78,7/1/2011,6184,2011,7
79,8/1/2011,6315,2011,8
80,9/1/2011,5928,2011,9
81,10/1/2011,5967,2011,10
82,11/1/2011,5888,2011,11
83,12/1/2011,5926,2011,12
84,1/1/2012,5306,2012,1
85,2/1/2012,5434,2012,2
86,3/1/2012,5751,2012,3
87,4/1/2012,5981,2012,4
88,5/1/2012,5947,2012,5
89,6/1/2012,6116,2012,6
90,7/1/2012,5751,2012,7
91,8/1/2012,6441,2012,8
92,9/1/2012,6071,2012,9
93,10/1/2012,5744,2012,10
94,11/1/2012,6226,2012,11
95,12/1/2012,6322,2012,12
96,1/1/2013,7019,2013,1
97,2/1/2013,7042,2013,2
98,3/1/2013,7088,2013,3
99,4/1/2013,7362,2013,4
100,5/1/2013,7270,2013,5
101,6/1/2013,7351,2013,6
102,7/1/2013,7725,2013,7
103,8/1/2013,7223,2013,8
104,9/1/2013,7451,2013,9
105,10/1/2013,7549,2013,10
106,11/1/2013,7538,2013,11
107,12/1/2013,7734,2013,12
108,1/1/2014,7646,2014,1
109,2/1/2014,7742,2014,2
110,3/1/2014,7480,2014,3
111,4/1/2014,7692,2014,4
112,5/1/2014,7871,2014,5
113,6/1/2014,7826,2014,6
114,7/1/2014,8047,2014,7
115,8/1/2014,8142,2014,8
116,9/1/2014,8392,2014,9
117,10/1/2014,8234,2014,10
118,11/1/2014,8163,2014,11
119,12/1/2014,8197,2014,12
