,Unnamed: 0,Date,Rate,currency,rate,year,month,month_str
0,1,2005-01-01,{'USD': 1.358363},USD,1.358363,2005,1,Jan
1,2,2005-01-01,{'GBP': 0.705819},GBP,0.705819,2005,1,Jan
2,3,2005-01-01,{'JPY': 139.436301},JPY,139.436301,2005,1,Jan
3,4,2005-01-01,{'CNY': 11.23808},CNY,11.23808,2005,1,Jan
4,5,2006-01-01,{'USD': 1.181562},USD,1.181562,2006,1,Jan
5,6,2006-01-01,{'GBP': 0.686612},GBP,0.686612,2006,1,Jan
6,7,2006-01-01,{'JPY': 139.22724},JPY,139.22724,2006,1,Jan
7,8,2006-01-01,{'CNY': 9.537388},CNY,9.537388,2006,1,Jan
8,9,2007-01-01,{'USD': 1.315192},USD,1.315192,2007,1,Jan
9,10,2007-01-01,{'GBP': 0.670411},GBP,0.670411,2007,1,Jan
10,11,2007-01-01,{'JPY': 156.436232},JPY,156.436232,2007,1,Jan
11,12,2007-01-01,{'CNY': 10.266779},CNY,10.266779,2007,1,Jan
12,13,2008-01-01,{'USD': 1.462424},USD,1.462424,2008,1,Jan
13,14,2008-01-01,{'GBP': 0.735121},GBP,0.735121,2008,1,Jan
14,15,2008-01-01,{'JPY': 163.416069},JPY,163.416069,2008,1,Jan
15,16,2008-01-01,{'CNY': 10.685003},CNY,10.685003,2008,1,Jan
16,17,2009-01-01,{'USD': 1.394492},USD,1.394492,2009,1,Jan
17,18,2009-01-01,{'GBP': 0.956164},GBP,0.956164,2009,1,Jan
18,19,2009-01-01,{'JPY': 126.598325},JPY,126.598325,2009,1,Jan
19,20,2009-01-01,{'CNY': 9.517772},CNY,9.517772,2009,1,Jan
20,21,2010-01-01,{'USD': 1.4342},USD,1.4342,2010,1,Jan
21,22,2010-01-01,{'GBP': 0.886657},GBP,0.886657,2010,1,Jan
22,23,2010-01-01,{'JPY': 133.252538},JPY,133.252538,2010,1,Jan
23,24,2010-01-01,{'CNY': 9.793804},CNY,9.793804,2010,1,Jan
24,25,2011-01-01,{'USD': 1.33737},USD,1.33737,2011,1,Jan
25,26,2011-01-01,{'GBP': 0.859052},GBP,0.859052,2011,1,Jan
26,27,2011-01-01,{'JPY': 108.47771},JPY,108.47771,2011,1,Jan
27,28,2011-01-01,{'CNY': 8.824843},CNY,8.824843,2011,1,Jan
28,29,2012-01-01,{'USD': 1.294525},USD,1.294525,2012,1,Jan
29,30,2012-01-01,{'GBP': 0.834192},GBP,0.834192,2012,1,Jan
30,31,2012-01-01,{'JPY': 99.908411},JPY,99.908411,2012,1,Jan
31,32,2012-01-01,{'CNY': 8.160873},CNY,8.160873,2012,1,Jan
32,33,2013-01-01,{'USD': 1.320739},USD,1.320739,2013,1,Jan
33,34,2013-01-01,{'GBP': 0.81311},GBP,0.81311,2013,1,Jan
34,35,2013-01-01,{'JPY': 114.352908},JPY,114.352908,2013,1,Jan
35,36,2013-01-01,{'CNY': 8.255507},CNY,8.255507,2013,1,Jan
36,37,2014-01-01,{'USD': 1.375574},USD,1.375574,2014,1,Jan
37,38,2014-01-01,{'GBP': 0.830368},GBP,0.830368,2014,1,Jan
38,39,2014-01-01,{'JPY': 144.835474},JPY,144.835474,2014,1,Jan
39,40,2014-01-01,{'CNY': 8.343407},CNY,8.343407,2014,1,Jan
40,41,2005-02-01,{'USD': 1.303526},USD,1.303526,2005,2,Feb
41,42,2005-02-01,{'GBP': 0.692797},GBP,0.692797,2005,2,Feb
42,43,2005-02-01,{'JPY': 135.229122},JPY,135.229122,2005,2,Feb
43,44,2005-02-01,{'CNY': 10.787422},CNY,10.787422,2005,2,Feb
44,45,2006-02-01,{'USD': 1.207546},USD,1.207546,2006,2,Feb
45,46,2006-02-01,{'GBP': 0.680018},GBP,0.680018,2006,2,Feb
46,47,2006-02-01,{'JPY': 142.240326},JPY,142.240326,2006,2,Feb
47,48,2006-02-01,{'CNY': 9.734399},CNY,9.734399,2006,2,Feb
48,49,2007-02-01,{'USD': 1.30208},USD,1.30208,2007,2,Feb
49,50,2007-02-01,{'GBP': 0.661522},GBP,0.661522,2007,2,Feb
50,51,2007-02-01,{'JPY': 157.021385},JPY,157.021385,2007,2,Feb
51,52,2007-02-01,{'CNY': 10.102855},CNY,10.102855,2007,2,Feb
52,53,2008-02-01,{'USD': 1.483206},USD,1.483206,2008,2,Feb
53,54,2008-02-01,{'GBP': 0.751048},GBP,0.751048,2008,2,Feb
54,55,2008-02-01,{'JPY': 157.857106},JPY,157.857106,2008,2,Feb
55,56,2008-02-01,{'CNY': 10.659927},CNY,10.659927,2008,2,Feb
56,57,2009-02-01,{'USD': 1.280511},USD,1.280511,2009,2,Feb
57,58,2009-02-01,{'GBP': 0.891473},GBP,0.891473,2009,2,Feb
58,59,2009-02-01,{'JPY': 114.987067},JPY,114.987067,2009,2,Feb
59,60,2009-02-01,{'CNY': 8.760117},CNY,8.760117,2009,2,Feb
60,61,2010-02-01,{'USD': 1.391783},USD,1.391783,2010,2,Feb
61,62,2010-02-01,{'GBP': 0.873704},GBP,0.873704,2010,2,Feb
62,63,2010-02-01,{'JPY': 126.027449},JPY,126.027449,2010,2,Feb
63,64,2010-02-01,{'CNY': 9.502461},CNY,9.502461,2010,2,Feb
64,65,2011-02-01,{'USD': 1.380479},USD,1.380479,2011,2,Feb
65,66,2011-02-01,{'GBP': 0.855958},GBP,0.855958,2011,2,Feb
66,67,2011-02-01,{'JPY': 112.470454},JPY,112.470454,2011,2,Feb
67,68,2011-02-01,{'CNY': 9.098939},CNY,9.098939,2011,2,Feb
68,69,2012-02-01,{'USD': 1.316874},USD,1.316874,2012,2,Feb
69,70,2012-02-01,{'GBP': 0.831149},GBP,0.831149,2012,2,Feb
70,71,2012-02-01,{'JPY': 100.279857},JPY,100.279857,2012,2,Feb
71,72,2012-02-01,{'CNY': 8.305167},CNY,8.305167,2012,2,Feb
